Choice_id,Question_id,Choice
258,88,FALSE
259,89,TRUE
260,89,FALSE
261,90,TRUE
262,90,FALSE
263,91,TRUE
264,91,FALSE
265,92,a) <ul>
266,92,b) <ol>
267,92,c) <li>
268,92,d) <dl>
269,93,a) href
270,93,b) target
271,93,c) src
272,93,d) link
273,94,a) <div>
274,94,b) <section>
275,94,c) <article>
276,94,d) <span>
277,95,a) Cascading Style Sheet
278,95,b) Computer Style Sheet
279,95,c) Creative Style Sheet
280,95,d) Custom Style Sheet
281,96,a) <br>
282,96,b) <hr>
283,96,c) <p>
284,96,d) <nl>
