Certification_ID,Certification_Name,Certificate_Hour,Certificate_Website,Certificate_URL,Certificate_Date
74,AngularJS Developer Certificate,60,Pluralsight,,2/16/2023
75,Data Analysis Challenger Track,29,Udacity,,3/25/2023
76,Data Analyst in Power BI,48,DataCamp,,4/20/2023
77,Data Analyst with Python,36,DataCamp,,5/27/2023
78,Java SE Programmer Certificate,70,Oracle,,9/3/2022
79,C# Developer Certificate,50,edX,,9/15/2022
80,MongoDB Developer Certificate,60,MongoDB University,,10/10/2021
81,Node.js Certificate,60,Udemy,,10/5/2022
82,React.js Certificate,50,LinkedIn Learning,,10/1/2021
83,Data Analysis Challenger Track,29,Udacity,,9/8/2022
84,Data Analyst in Power BI,48,DataCamp,,9/10/2021
85,Data Analyst with Python,36,DataCamp,,9/27/2021
86,SQL Fundamentals Certificate,50,Codecademy,,5/10/2023
87,HTML5 and CSS3 Certificate,60,Udemy,,10/20/2021
88,Java SE Programmer Certificate,70,Oracle,,10/9/2021
89,C# Developer Certificate,50,edX,,9/5/2021
90,MongoDB Developer Certificate,60,MongoDB University,,11/8/2022
91,Node.js Certificate,60,Udemy,,4/13/2023
92,React.js Certificate,50,LinkedIn Learning,,10/22/2022
93,Linux System Administration Certificate,70,Linux Academy,,5/10/2023
94,UX/UI Design Certificate,80,Interaction Design Foundation,,5/5/2023
95,Ruby on Rails Certification,70,Udemy,,11/19/2022
96,Amazon Web Services (AWS) Certificate,60,AWS Training and Certification,,4/14/2023
97,Android App Development Certificate,80,Udacity,,3/8/2023
98,iOS App Development Certificate,70,Apple Developer,,2/13/2023
99,MySQL Database Administrator Certificate,50,MySQL,,1/21/2022
100,AngularJS Developer Certificate,60,Pluralsight,,12/14/2022
101,WordPress Developer Certificate,40,Udemy,,4/20/2023
102,Ethical Hacking Certificate,70,eLearnSecurity,,1/4/2022
103,Data Science Certificate,80,DataCamp,,4/18/2023
104,ASP.NET MVC Certificate,70,Microsoft Virtual Academy,,3/15/2022
105,Cybersecurity Certificate,50,Cybrary,,5/23/2023
106,Swift Programming Certificate,50,Swift.org,,5/22/2022
107,Vue.js Certificate,50,Vue Mastery,,6/12/2022
108,PHP Developer Certificate,60,Treehouse,,4/10/2023
109,Unity Game Developer Certificate,80,Unity Learn,,8/22/2022
110,TypeScript Certificate,50,Udemy,,9/25/2022
111,Front-End Web Development Certificate,60,Coursera,,10/20/2022
112,Back-End Web Development Certificate,70,Udacity,,11/12/2022
113,Software Engineering Certificate,80,edX,,12/7/2022
114,Kubernetes Administrator Certificate,70,Linux Foundation,,1/10/2023
115,Network Security Certificate,60,CompTIA,,2/16/2023
116,iOS App Design Certificate,50,Udemy,,3/25/2022
117,Android App Design Certificate,50,Udemy,,4/20/2022
118,Graphic Design Certificate,60,Skillshare,,5/27/2022
119,Agile Development Certificate,50,Scrum.org,,6/21/2022
120,Project Management Certificate,70,Project Management Institute,,7/16/2022
121,Data Visualization Certificate,60,Tableau,,8/10/2022
122,AWS Solutions Architect Certificate,80,AWS Training and Certification,,9/15/2022
123,Google Certified Professional Cloud Architect Certificate,70,Google Cloud Training,,10/23/2022
124,UI/UX Design Certificate,60,CareerFoundry,,11/16/2022
125,Microsoft Certified: Azure Administrator Associate,70,Microsoft Learn,,12/14/2022
126,Docker Certified Associate,50,Docker,,1/6/2022
127,Network+ Certification,60,CompTIA,,2/18/2023
128,CompTIA Security+ Certification,50,CompTIA,,3/15/2023
129,Red Hat Certified Engineer (RHCE),80,Red Hat,,4/10/2023
130,Certified Information Systems Security Professional (CISSP),70,(ISC)²,,5/22/2023
131,Certified ScrumMaster (CSM),50,Scrum Alliance,,3/12/2023
132,Certified Ethical Hacker (CEH),70,EC-Council,,4/16/2023
133,Certified Kubernetes Application Developer (CKAD),60,Linux Foundation,,4/22/2023
134,ITIL Foundation Certificate,50,Axelos,,5/25/2023
135,CompTIA Linux+ Certification,60,CompTIA,,4/20/2023
136,Kubernetes Administrator Certificate,70,Linux Foundation,,1/12/2023
137,Network Security Certificate,60,CompTIA,,3/7/2023
138,iOS App Design Certificate,50,Udemy,,2/18/2023
139,Android App Design Certificate,50,Udemy,,3/15/2023
140,Graphic Design Certificate,60,Skillshare,,4/10/2023
141,Microsoft Certified: Azure Administrator Associate,70,Microsoft Learn,,5/22/2023
142,Docker Certified Associate,50,Docker,,3/12/2023
143,Network+ Certification,60,CompTIA,,4/16/2023
144,CompTIA Security+ Certification,50,CompTIA,,4/22/2023
145,PHP Developer Certificate,60,Treehouse,,5/25/2023
146,Unity Game Developer Certificate,80,Unity Learn,,4/20/2023
147,TypeScript Certificate,50,Udemy,,1/12/2023
148,Front-End Web Development Certificate,60,Coursera,,3/7/2023
149,Back-End Web Development Certificate,70,Udacity,,9/25/2022
150,Software Engineering Certificate,80,edX,,10/20/2022
151,Kubernetes Administrator Certificate,70,Linux Foundation,,11/12/2022
152,Network Security Certificate,60,CompTIA,,12/7/2022
153,iOS App Design Certificate,50,Udemy,,1/10/2023
154,Android App Design Certificate,50,Udemy,,2/16/2023
155,Graphic Design Certificate,60,Skillshare,,3/25/2023
156,Agile Development Certificate,50,Scrum.org,,4/20/2023
157,Project Management Certificate,70,Project Management Institute,,5/27/2023
158,Data Visualization Certificate,60,Tableau,,9/3/2022
159,AWS Solutions Architect Certificate,80,AWS Training and Certification,,9/15/2022
160,Google Certified Professional Cloud Architect Certificate,70,Google Cloud Training,,10/10/2021
161,UI/UX Design Certificate,60,CareerFoundry,,10/5/2022
162,Microsoft Certified: Azure Administrator Associate,70,Microsoft Learn,,10/1/2021
163,Docker Certified Associate,50,Docker,,9/8/2022
164,Network+ Certification,60,CompTIA,,9/10/2021
165,CompTIA Security+ Certification,50,CompTIA,,9/27/2021
166,Red Hat Certified Engineer (RHCE),80,Red Hat,,5/10/2023
167,UI/UX Design Certificate,60,CareerFoundry,,10/20/2021
168,Certified ScrumMaster (CSM),50,Scrum Alliance,,10/9/2021
169,Certified Ethical Hacker (CEH),70,EC-Council,,9/5/2021
170,Certified Kubernetes Application Developer (CKAD),60,Linux Foundation,,11/8/2022
171,ITIL Foundation Certificate,50,Axelos,,4/13/2023
172,CompTIA Linux+ Certification,60,CompTIA,,10/22/2022
173,Certificate of completion - Introduction to Jupyter,2,365DataScience,,5/10/2023
174,Data Analysis Professional,50,Udacity,,5/5/2023
175,Process Data from Dirty to Clean,26,Coursera,,11/19/2022
176,Prepare Data for Exploration,23,Coursera,,4/14/2023
177,Prepare Clean Transform and Load Data using Power BI,2,Coursera,,3/8/2023
178,Python (Basic) Certificate,1,HackerRank,,2/13/2023
179,Python Data Structures,20,Coursera,,1/21/2022
180,Ask Questions to Make Data-Driven Decisions,20,Coursera,,12/14/2022
181,Java SE Programmer Certificate,70,Oracle,,4/20/2023
182,C# Developer Certificate,50,edX,,1/4/2022
183,MongoDB Developer Certificate,60,MongoDB University,,4/18/2023
184,Node.js Certificate,60,Udemy,,3/15/2022
185,React.js Certificate,50,LinkedIn Learning,,5/23/2023
186,Linux System Administration Certificate,70,Linux Academy,,5/22/2022
187,UX/UI Design Certificate,80,Interaction Design Foundation,,6/12/2022
188,Ruby on Rails Certification,70,Udemy,,4/10/2023
189,Amazon Web Services (AWS) Certificate,60,AWS Training and Certification,,8/22/2022
190,Android App Development Certificate,80,Udacity,,9/25/2022
191,iOS App Development Certificate,70,Apple Developer,,10/20/2022
192,MySQL Database Administrator Certificate,50,MySQL,,11/12/2022
193,AngularJS Developer Certificate,60,Pluralsight,,12/7/2022
194,Certificate of completion - Introduction to Jupyter,2,365DataScience,,1/10/2023
195,Data Analysis Professional,50,Udacity,,2/16/2023
196,Process Data from Dirty to Clean,26,Coursera,,3/25/2022
197,Prepare Data for Exploration,23,Coursera,,4/20/2022
198,Prepare Clean Transform and Load Data using Power BI,2,Coursera,,5/27/2022
199,Python (Basic) Certificate,1,HackerRank,,6/21/2022
200,Python Data Structures,20,Coursera,,7/16/2022
201,Network+ Certification,60,CompTIA,,8/10/2022
202,CompTIA Security+ Certification,50,CompTIA,,9/15/2022
